epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,156.142,0.67526,0.50462,0.86737,0.67355,0.76682,0.75507,0.54538,1.08364,1.02111,1.0202,6.74089e-05,6.74089e-05,6.74089e-05
75,158.117,0.72524,0.51288,0.94172,0.71185,0.74795,0.7601,0.56221,1.04088,1.03096,1.0069,6.58927e-05,6.58927e-05,6.58927e-05
76,160.011,0.664,0.53623,0.88493,0.71185,0.74795,0.7601,0.56221,1.04088,1.03096,1.0069,6.43106e-05,6.43106e-05,6.43106e-05
77,161.94,0.61625,0.4492,0.85599,0.71185,0.74795,0.7601,0.56221,1.04088,1.03096,1.0069,6.26626e-05,6.26626e-05,6.26626e-05
78,163.966,0.5873,0.4166,0.90622,0.70408,0.72423,0.75641,0.56106,1.03503,1.06693,1.00754,6.09487e-05,6.09487e-05,6.09487e-05
79,165.852,0.60332,0.46503,0.85797,0.70408,0.72423,0.75641,0.56106,1.03503,1.06693,1.00754,5.91688e-05,5.91688e-05,5.91688e-05
80,168.118,0.81713,0.62669,0.86293,0.70408,0.72423,0.75641,0.56106,1.03503,1.06693,1.00754,5.7323e-05,5.7323e-05,5.7323e-05
81,170.156,0.71515,0.5313,0.85826,0.70026,0.7085,0.75183,0.54091,1.0949,1.10366,1.02951,5.54112e-05,5.54112e-05,5.54112e-05
82,172.082,0.59671,0.46509,0.85499,0.70026,0.7085,0.75183,0.54091,1.0949,1.10366,1.02951,5.34335e-05,5.34335e-05,5.34335e-05
83,173.983,0.55,0.41361,0.86379,0.70026,0.7085,0.75183,0.54091,1.0949,1.10366,1.02951,5.13899e-05,5.13899e-05,5.13899e-05
84,175.936,0.62161,0.46354,0.88225,0.68632,0.69612,0.74955,0.52703,1.10485,1.10432,1.03112,4.92803e-05,4.92803e-05,4.92803e-05
85,177.869,0.63794,0.43633,0.88673,0.68632,0.69612,0.74955,0.52703,1.10485,1.10432,1.03112,4.71048e-05,4.71048e-05,4.71048e-05
86,180.115,0.57875,0.44921,0.85097,0.68632,0.69612,0.74955,0.52703,1.10485,1.10432,1.03112,4.48634e-05,4.48634e-05,4.48634e-05
87,181.971,0.69027,0.5012,0.94062,0.68632,0.69612,0.74955,0.52703,1.10485,1.10432,1.03112,4.25561e-05,4.25561e-05,4.25561e-05
88,183.953,0.65216,0.50527,0.86352,0.70271,0.74669,0.75826,0.54409,1.0694,1.07161,1.01298,4.01828e-05,4.01828e-05,4.01828e-05
89,185.846,0.60882,0.4707,0.86295,0.70271,0.74669,0.75826,0.54409,1.0694,1.07161,1.01298,3.77436e-05,3.77436e-05,3.77436e-05
90,187.713,0.61785,0.50444,0.85985,0.70271,0.74669,0.75826,0.54409,1.0694,1.07161,1.01298,3.52384e-05,3.52384e-05,3.52384e-05
91,190.146,0.63872,0.43845,0.86487,0.70271,0.74669,0.75826,0.54409,1.0694,1.07161,1.01298,3.26673e-05,3.26673e-05,3.26673e-05
92,192.31,0.62469,0.46258,0.84502,0.70876,0.73778,0.76256,0.56084,1.04411,1.05043,1,3.00303e-05,3.00303e-05,3.00303e-05
93,194.583,0.57033,0.45299,0.83677,0.70876,0.73778,0.76256,0.56084,1.04411,1.05043,1,2.73273e-05,2.73273e-05,2.73273e-05
94,196.456,0.5711,0.39389,0.84294,0.70876,0.73778,0.76256,0.56084,1.04411,1.05043,1,2.45584e-05,2.45584e-05,2.45584e-05
95,198.337,0.54154,0.40663,0.86965,0.70876,0.73778,0.76256,0.56084,1.04411,1.05043,1,2.17236e-05,2.17236e-05,2.17236e-05
96,200.651,0.56593,0.39741,0.8497,0.7361,0.72997,0.76267,0.5602,1.02611,1.04474,0.99284,1.88228e-05,1.88228e-05,1.88228e-05
97,202.515,0.58187,0.47269,0.82683,0.7361,0.72997,0.76267,0.5602,1.02611,1.04474,0.99284,1.58561e-05,1.58561e-05,1.58561e-05
98,204.44,0.59237,0.46573,0.85664,0.7361,0.72997,0.76267,0.5602,1.02611,1.04474,0.99284,1.28235e-05,1.28235e-05,1.28235e-05
99,206.314,0.55552,0.40988,0.82563,0.7361,0.72997,0.76267,0.5602,1.02611,1.04474,0.99284,9.72493e-06,9.72493e-06,9.72493e-06
100,208.328,0.55184,0.39957,0.82585,0.74076,0.72881,0.76096,0.56268,1.01912,1.03857,0.99069,6.56043e-06,6.56043e-06,6.56043e-06
